time,S,Z,R
1,80,38,0
2,80,38,0
3,80,38,0
4,81,38,0
5,81,38,0
6,81,38,0
7,80,38,0
8,81,38,0
9,81,38,0
10,81,38,0
11,83,38,0
12,82,38,0
13,83,38,0
14,82,38,0
15,81,38,0
16,81,38,0
17,79,38,0
18,81,38,0
19,82,38,0
20,83,38,0
21,85,38,0
22,85,38,0
23,86,38,0
24,85,38,0
25,87,38,0
26,86,38,0
27,85,38,0
28,84,38,0
29,84,38,0
30,83,38,0
31,84,38,0
32,84,38,0
33,84,38,0
34,85,38,0
35,85,38,0
36,85,38,0
37,85,38,0
38,86,38,0
39,85,38,0
40,84,38,0
41,83,38,0
42,85,38,0
43,85,38,0
44,85,38,0
45,85,38,0
46,87,38,0
47,87,38,0
48,88,38,0
49,88,38,0
50,86,38,0
51,87,38,0
52,88,38,0
53,89,31,7
54,90,31,7
55,90,31,7
56,90,31,7
57,91,31,7
58,94,31,7
59,93,31,7
60,94,31,7
61,95,31,7
62,94,31,7
63,96,31,7
64,97,31,7
65,98,31,7
66,98,31,7
67,98,31,7
68,99,31,7
69,100,31,7
70,100,31,7
71,100,31,7
72,101,31,7
73,103,31,7
74,104,31,7
75,104,30,8
76,105,30,8
77,105,30,8
78,105,30,8
79,104,30,8
80,105,30,8
81,104,29,9
82,104,29,9
83,105,29,9
84,105,29,9
85,108,29,9
86,108,29,9
87,108,29,9
88,109,29,9
89,110,29,9
90,111,29,9
91,113,29,9
92,113,29,9
93,113,29,9
94,113,29,9
95,112,29,9
96,114,29,9
97,115,29,9
98,116,29,9
99,116,29,9
100,116,30,9
101,117,30,9
102,119,31,9
103,120,31,9
104,120,31,9
105,121,33,9
106,122,34,9
107,123,34,10
108,124,34,10
109,127,34,10
110,129,34,10
111,130,35,10
112,130,35,10
113,130,37,10
114,132,37,10
115,132,37,11
116,132,39,11
117,133,39,11
118,132,39,11
119,132,39,11
120,133,39,11
121,135,39,11
122,135,39,11
123,136,40,11
124,137,40,11
125,142,40,11
126,144,40,11
127,145,40,11
128,146,40,11
129,146,40,11
130,145,40,11
131,149,40,11
132,152,40,11
133,152,40,11
134,155,39,12
135,154,38,13
136,158,37,14
137,162,37,14
138,163,37,14
139,164,36,15
140,164,36,15
141,164,36,15
142,165,35,16
143,166,35,16
144,167,35,16
145,168,35,16
146,169,35,16
147,171,35,16
148,171,36,16
149,171,37,16
150,173,36,17
151,173,37,17
152,174,37,17
153,175,37,17
154,179,37,17
155,179,37,17
156,179,37,17
157,180,37,17
158,180,37,17
159,182,37,17
160,182,37,17
161,183,37,17
162,183,37,17
163,184,37,17
164,187,37,17
165,189,38,17
166,192,37,18
167,196,37,19
168,199,37,19
169,200,37,19
170,204,38,19
171,208,38,19
172,211,38,19
173,213,38,19
174,213,38,19
175,214,37,20
176,214,37,20
177,215,37,20
178,216,36,21
179,218,36,21
180,221,36,21
181,223,36,21
182,223,36,21
183,224,36,21
184,226,35,22
185,225,35,22
186,225,36,22
187,225,36,22
188,227,36,22
189,230,36,22
190,231,36,22
191,234,36,22
192,235,36,22
193,236,36,22
194,236,35,23
195,236,35,24
196,239,35,24
197,239,35,24
198,239,35,24
199,242,35,24
200,246,35,24
201,246,34,25
202,247,34,25
203,252,34,25
204,254,34,25
205,253,35,25
206,253,35,25
207,253,36,25
208,255,36,25
209,260,36,25
210,262,36,25
211,262,37,25
212,261,37,25
213,264,37,25
214,266,37,25
215,269,36,26
216,272,37,26
217,272,37,26
218,274,37,26
219,275,37,26
220,275,37,26
221,276,37,26
222,278,37,26
223,279,37,26
224,280,37,26
225,279,37,26
226,281,37,26
227,284,37,26
228,285,37,26
229,287,37,26
230,289,37,26
231,290,37,26
232,292,37,26
233,295,38,26
234,298,38,26
235,300,38,26
236,302,38,26
237,303,37,27
238,304,37,27
239,305,37,27
240,308,37,27
241,312,37,27
242,319,35,29
243,323,35,29
244,325,35,29
245,328,35,29
246,331,35,29
247,336,35,29
248,340,35,29
249,340,36,29
250,342,37,29
251,344,37,29
252,348,37,29
253,350,37,29
254,350,37,29
255,353,38,29
256,356,39,29
257,357,40,29
258,358,40,29
259,365,40,29
260,368,40,29
261,372,39,30
262,376,39,30
263,380,39,30
264,385,40,30
265,388,40,30
266,395,40,30
267,397,40,30
268,401,42,30
269,403,43,30
270,407,43,30
271,411,43,30
272,413,43,30
273,413,43,30
274,414,43,30
275,416,42,31
276,418,42,31
277,421,42,31
278,423,42,31
279,425,43,31
280,428,43,31
281,431,43,31
282,434,44,31
283,434,46,31
284,438,45,32
285,441,45,32
286,443,45,32
287,446,45,32
288,450,44,33
289,454,45,33
290,454,46,33
291,463,47,33
292,465,47,33
293,467,47,33
294,470,48,33
295,472,47,34
296,473,47,34
297,476,49,34
298,479,50,34
299,479,50,34
300,482,50,34
301,483,50,34
302,486,50,34
303,488,52,34
304,495,53,34
305,501,53,34
306,504,53,34
307,505,54,34
