time,S,Z,R,I
1,79,36,2,0
2,79,36,2,2
3,78,35,3,3
4,77,35,3,5
5,76,34,4,6
6,75,34,4,7
7,75,34,4,8
8,75,33,5,10
9,76,33,5,11
10,76,33,5,12
11,76,33,5,13
12,75,32,6,13
13,76,32,6,14
14,75,32,6,15
15,74,30,8,15
16,74,30,8,16
17,73,30,8,16
18,73,30,8,17
19,73,29,9,17
20,72,29,9,17
21,72,28,10,17
22,71,27,11,17
23,71,26,12,17
24,72,25,13,17
25,72,24,14,17
26,71,24,14,16
27,72,24,14,16
28,72,24,14,15
29,72,24,14,15
30,70,22,16,14
31,70,22,16,13
32,70,21,17,13
33,71,20,18,12
34,71,20,18,11
35,70,20,18,10
36,70,20,18,8
37,70,19,19,7
38,70,19,19,6
39,70,19,19,5
40,70,18,20,3
41,70,18,20,2
42,70,18,20,0
43,70,19,20,2
44,69,19,20,2
45,70,19,20,3
46,69,20,20,3
47,68,20,20,3
48,68,21,20,3
49,69,20,21,4
50,69,20,21,4
51,68,20,21,4
52,68,20,21,4
53,69,20,21,5
54,69,20,21,5
55,69,20,21,5
56,69,20,21,6
57,69,20,21,6
58,69,20,21,6
59,69,20,21,6
60,69,20,21,7
61,69,20,21,7
62,70,20,21,7
63,70,21,21,7
64,70,21,21,7
65,69,21,21,8
66,70,21,21,8
67,68,21,21,8
68,68,21,21,8
69,68,21,21,9
70,67,21,21,9
71,67,22,21,9
72,66,22,21,9
73,66,21,22,9
74,66,21,22,10
75,66,21,22,10
76,65,21,22,10
77,65,21,22,10
78,65,21,22,10
79,65,21,22,11
80,65,21,22,11
81,65,22,22,11
82,65,22,22,11
83,65,23,22,11
84,66,23,22,11
85,65,23,22,12
86,65,23,22,12
87,65,24,22,12
88,65,24,22,12
89,65,24,22,12
90,65,24,22,12
91,66,24,22,13
92,66,24,22,13
93,66,24,22,13
94,66,24,22,13
95,65,24,22,13
96,64,24,22,13
97,64,24,22,14
98,64,24,22,14
99,64,25,22,14
100,64,27,22,14
101,63,28,22,14
102,63,28,22,14
103,64,28,22,14
104,63,28,22,14
105,61,28,23,15
106,62,28,23,15
107,61,28,23,15
108,61,28,23,15
109,62,28,23,15
110,62,28,23,15
111,61,28,23,15
112,62,28,23,15
113,63,29,23,15
114,62,29,23,15
115,61,29,23,16
116,61,28,24,16
117,61,28,24,16
118,62,27,25,16
119,62,27,25,16
120,62,27,25,16
121,62,27,25,16
122,62,28,25,16
123,62,28,26,16
124,62,28,26,16
125,62,28,26,16
126,61,28,26,16
127,61,28,26,16
128,61,28,26,16
129,61,28,26,17
130,61,29,26,17
131,60,29,26,17
132,59,29,26,17
133,59,29,26,17
134,57,29,27,17
135,56,29,27,17
136,56,30,27,17
137,56,29,28,17
138,56,29,28,17
139,56,29,28,17
140,56,29,28,17
141,56,29,28,17
142,56,30,28,17
143,56,31,28,17
144,56,31,28,17
145,57,31,28,17
146,57,31,28,17
147,57,31,28,17
148,57,31,28,17
149,57,30,29,17
150,57,30,29,17
151,57,30,29,17
152,56,30,29,17
153,57,30,29,17
154,57,30,29,17
155,57,30,29,17
156,57,31,29,17
157,57,31,29,17
158,57,31,29,17
159,57,31,29,17
160,57,31,29,17
161,57,31,29,17
162,57,31,29,17
163,57,32,29,17
164,57,32,29,17
165,57,32,29,17
166,57,32,29,16
167,57,32,29,16
168,57,34,29,16
169,57,35,29,16
170,58,35,29,16
171,58,35,29,16
172,59,35,29,16
173,59,35,29,16
174,59,35,29,16
175,59,35,29,16
176,59,35,29,16
177,59,35,29,16
178,58,36,29,16
179,59,36,29,16
180,59,36,29,15
181,59,36,29,15
182,59,36,29,15
183,59,36,29,15
184,59,36,29,15
185,59,36,29,15
186,59,37,29,15
187,59,37,29,15
188,59,37,29,15
189,59,37,29,15
190,58,37,29,14
191,58,37,29,14
192,58,37,29,14
193,58,37,29,14
194,58,37,29,14
195,59,37,29,14
196,59,37,29,14
197,59,37,29,14
198,59,37,29,13
199,59,37,29,13
200,60,37,29,13
201,60,37,29,13
202,60,37,29,13
203,60,37,29,13
204,60,37,29,12
205,60,37,29,12
206,60,37,29,12
207,61,37,29,12
208,61,37,29,12
209,61,38,29,12
210,61,38,29,11
211,61,38,29,11
212,61,38,29,11
213,61,38,29,11
214,61,38,29,11
215,60,38,29,11
216,60,38,29,10
217,60,38,29,10
218,60,38,29,10
219,60,38,29,10
220,60,38,29,10
221,60,38,29,9
222,60,38,29,9
223,60,39,29,9
224,60,39,29,9
225,60,39,29,9
226,60,39,29,8
227,60,39,29,8
228,59,39,29,8
229,58,39,29,8
230,58,39,29,7
231,58,39,29,7
232,58,39,29,7
233,56,39,29,7
234,56,39,29,7
235,56,39,29,6
236,56,39,29,6
237,56,39,29,6
238,56,39,29,6
239,55,39,29,5
240,55,39,29,5
241,55,39,29,5
242,55,39,29,4
243,55,39,29,4
244,55,39,29,4
245,55,39,29,4
246,55,39,29,3
247,55,39,29,3
248,55,39,29,3
249,55,39,29,3
250,55,40,29,2
251,55,40,29,2
252,55,39,30,2
253,55,39,30,2
254,55,39,30,2
255,55,39,30,2
256,55,39,30,2
257,55,39,30,2
258,55,39,30,2
259,55,39,30,2
260,55,39,30,2
261,55,39,30,2
262,55,40,30,2
263,56,41,30,2
264,57,41,30,2
265,57,41,30,2
266,57,41,30,2
267,57,42,30,2
268,57,44,30,2
269,58,44,30,2
270,59,44,30,2
271,59,44,30,2
272,61,45,30,2
273,61,45,30,2
274,61,45,30,2
275,61,45,30,2
276,61,45,30,2
277,61,45,30,2
278,61,45,30,2
279,61,45,30,2
280,62,45,30,2
281,62,45,30,2
282,62,45,30,2
283,62,45,30,2
284,62,45,30,2
285,63,45,30,2
286,64,45,30,2
287,65,45,30,2
288,64,45,30,2
289,64,45,30,2
290,64,45,30,2
291,64,45,30,2
292,64,45,30,2
293,64,45,30,2
294,64,46,30,2
295,64,46,30,2
296,64,46,30,2
297,64,46,30,2
298,64,46,30,2
299,64,46,30,2
300,64,46,30,2
301,64,46,30,2
302,64,46,30,2
303,64,46,30,2
304,65,46,30,2
305,65,46,30,2
306,65,46,30,2
307,65,46,30,2
308,65,46,30,2
309,65,46,30,2
310,65,46,30,2
311,65,46,30,2
312,65,46,30,2
313,65,46,30,2
314,65,46,30,2
315,66,46,30,2
316,66,46,30,2
317,66,46,30,2
318,66,46,30,2
319,66,46,30,2
320,66,46,30,2
321,67,46,30,2
322,67,46,30,2
323,67,46,30,2
324,67,47,30,2
325,67,47,30,2
326,67,47,30,2
327,67,47,30,2
328,67,47,30,2
329,67,47,30,2
330,67,47,30,2
331,67,47,30,2
332,67,47,30,2
333,67,47,30,2
334,67,47,30,2
335,67,47,30,2
336,68,47,30,2
337,68,47,30,2
338,68,47,30,2
339,68,47,30,2
340,68,47,30,2
341,68,47,30,2
342,68,47,30,2
343,68,47,30,2
344,68,47,30,2
345,69,47,30,2
346,69,47,30,2
347,69,47,30,2
348,69,47,30,2
349,69,47,30,2
350,69,47,30,2
351,69,48,30,2
352,69,48,30,2
353,69,48,30,2
354,69,48,30,2
355,69,48,30,2
356,69,48,30,2
357,69,48,30,2
358,69,48,30,2
359,69,48,30,2
360,69,48,30,2
361,69,48,30,2
362,69,48,30,2
363,69,48,30,2
364,69,48,30,2
365,69,48,30,2
366,69,48,30,2
367,69,48,30,2
368,70,48,30,2
369,70,48,30,2
370,70,48,30,2
371,70,48,30,2
372,70,48,30,2
373,71,48,30,2
374,71,47,31,2
375,72,47,31,2
376,72,47,31,2
377,72,47,31,2
378,73,47,31,2
379,73,47,31,2
380,73,47,31,2
381,73,47,31,2
382,73,47,31,2
383,73,47,31,2
384,73,47,31,2
385,73,47,31,2
386,74,47,31,2
387,74,46,32,2
388,74,45,33,2
389,74,45,33,2
390,74,45,33,2
391,73,45,33,2
392,73,45,33,2
393,72,45,33,2
394,72,45,33,2
